"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","down_in_daf.16_SVIP"
"WBGene00000001",4066.39394916394,1.43362065282951,0.0429218571721333,33.4007134658721,1.33866077110333e-244,2.17235182275958e-243,TRUE,FALSE
"WBGene00000002",121.407529165388,0.742957570774457,0.20115466212681,3.69346433693935,0.000221219547023381,0.000400079929491941,TRUE,FALSE
"WBGene00000003",221.064966236512,0.829186514036487,0.134678100280691,6.15680286778865,7.4228149214805e-10,1.70388263872106e-09,TRUE,FALSE
"WBGene00000005",294.389325999605,1.33938413609664,0.122174597807322,10.9628692063218,5.76423486564763e-28,1.94751440034703e-27,TRUE,FALSE
"WBGene00000007",270.277889461135,1.01413190616067,0.123479828493469,8.212935817402,2.15844935535018e-16,5.87182047931185e-16,TRUE,FALSE
"WBGene00000010",1100.31691627055,-0.179288636012491,0.0634593011993815,-2.82525386545288,0.00472431690160957,0.00769922603236333,TRUE,TRUE
"WBGene00000016",24.4014429025446,-1.33385066620189,0.401059165314933,-3.32582018205339,0.000881587825164848,0.00152231455594407,TRUE,TRUE
"WBGene00000017",115.622458502105,1.14560365874137,0.193687941917476,5.91468755050056,3.32506165349863e-09,7.48138872037193e-09,TRUE,FALSE
"WBGene00000020",60.8355002903902,-1.95823259917277,0.275777860256462,-7.10076072586717,1.24072026636285e-12,3.07836321105257e-12,TRUE,TRUE
"WBGene00000022",303.452795536191,-3.0360388346225,0.141374371122077,-21.4751712812281,2.65738671968176e-102,1.79855014216142e-101,TRUE,TRUE
"WBGene00000031",3.43444171746391,-3.36719756223998,1.36344301042706,-2.46962838673052,0.0135253474737599,0.021140585880332,TRUE,TRUE
"WBGene00000035",151.60066518895,1.30032936727494,0.167814908323037,7.74859266241028,9.29165549350178e-15,2.44385657316571e-14,TRUE,FALSE
"WBGene00000036",107.903053429496,-0.725379965681008,0.207892629399891,-3.48920482546645,0.000484459776881825,0.000852673552024418,TRUE,TRUE
"WBGene00000037",19.6577910798928,1.36902539011593,0.453909944187094,3.01607269822588,0.00256071856971578,0.00427940363758068,TRUE,FALSE
"WBGene00000039",89.0716446024595,0.636980797579491,0.206110979909352,3.09047483962104,0.00199836734794889,0.00337179364248461,TRUE,FALSE
"WBGene00000040",1018.6040487996,-2.23895553543194,0.0819196437570193,-27.3311190423737,1.8108016443308e-164,1.85629251490789e-163,TRUE,TRUE
"WBGene00000041",7386.8073184736,-1.89679210543096,0.0399921248887298,-47.4291403797224,0,0,TRUE,TRUE
"WBGene00000042",12.1644037671546,1.42296550459287,0.592169800414013,2.40296871538875,0.0162625786328101,0.0252219992596683,TRUE,FALSE
"WBGene00000044",20.1749584773155,1.23886713356411,0.440745142234564,2.81084693817178,0.00494112856693068,0.00802766268527624,TRUE,FALSE
"WBGene00000047",53.2108501469734,1.31894697327384,0.293989125755759,4.48638013356181,7.24434428811574e-06,1.43015401798734e-05,TRUE,FALSE
"WBGene00000050",76.7487767066864,1.65688381837267,0.24040942611369,6.89192535066874,5.50422577081128e-12,1.3473652250856e-11,TRUE,FALSE
"WBGene00000051",29.3838175678146,1.65850483658248,0.381141179681177,4.35141864746763,1.35259507991995e-05,2.62827421216067e-05,TRUE,FALSE
"WBGene00000054",73.3690016083445,1.75903480627733,0.25191955953608,6.98252572970779,2.89919849048268e-12,7.15101599501097e-12,TRUE,FALSE
"WBGene00000055",138.89339329355,1.26428215097362,0.171615611498448,7.36694138682746,1.74587197086328e-13,4.42042162261348e-13,TRUE,FALSE
"WBGene00000056",25.248195529525,0.919122101313193,0.414470190408329,2.21758312801142,0.0265832693329006,0.0402483721203822,TRUE,FALSE
"WBGene00000058",29.5245816591437,1.47527397403764,0.39018176951725,3.78099155135545,0.000156204975791429,0.000286194208043321,TRUE,FALSE
"WBGene00000060",14.3495764664368,1.42061644689581,0.554084633470371,2.56389793378338,0.01035039766831,0.0163237228517475,TRUE,FALSE
"WBGene00000061",8.12517827834536,1.8913820171351,0.791507078576505,2.38959583347843,0.0168669227768782,0.0261207356047233,TRUE,FALSE
"WBGene00000063",11582.0733161972,-1.79610304805323,0.036886084566667,-48.6932421576761,0,0,TRUE,TRUE
"WBGene00000064",23475.3263493325,-1.76259400201768,0.0286757191058241,-61.4664272415648,0,0,TRUE,TRUE
"WBGene00000065",11389.0422058288,-1.12300015612546,0.0328994081580786,-34.1343573941983,2.28203857769184e-255,3.91486046613828e-254,TRUE,TRUE
"WBGene00000066",6775.87098436724,-1.66087004382523,0.0397200330285453,-41.8144174913354,0,0,TRUE,TRUE
"WBGene00000067",5650.90209834958,-1.11688437308379,0.0373244624705097,-29.923655939218,9.69021448000972e-197,1.2085451471656e-195,TRUE,TRUE
"WBGene00000071",386.429383001194,2.01146876314987,0.118813119924682,16.9296855803886,2.71828172285463e-64,1.33625006797169e-63,TRUE,FALSE
"WBGene00000072",88.0267390886662,0.752229863789449,0.223707439068451,3.36256079333722,0.000772231203187889,0.00134174772509247,TRUE,FALSE
"WBGene00000073",1048.65813362168,0.862918941920787,0.0669938019325916,12.8805787554653,5.78997418555981e-38,2.22037057499159e-37,TRUE,FALSE
"WBGene00000074",215.956945726211,-1.22738999832905,0.139119559629693,-8.82255522944507,1.11876986640729e-18,3.23396819017184e-18,TRUE,TRUE
"WBGene00000075",358.378972055203,0.254208940597938,0.114681460585807,2.21665245018164,0.0266468504365136,0.0403301088889689,TRUE,FALSE
"WBGene00000079",1507.50544118085,-1.22910417313142,0.0567261020585687,-21.6673476323543,4.17100235511304e-104,2.85516659585344e-103,TRUE,TRUE
"WBGene00000080",4187.43773040152,1.19992791476019,0.0448387940885801,26.7609318928093,9.21268074396269e-158,8.90135567054602e-157,TRUE,FALSE
"WBGene00000081",4004.62046674571,0.750483567175888,0.0465194794242314,16.132673376069,1.5036812304675e-58,7.03000246012779e-58,TRUE,FALSE
"WBGene00000084",265.470728496228,1.10463154742028,0.124824754840059,8.84945897819447,8.79445810745151e-19,2.55270078906207e-18,TRUE,FALSE
"WBGene00000086",47.0158284375819,-1.87631673807707,0.310854852441232,-6.03598986260572,1.57991171839088e-09,3.58551239330285e-09,TRUE,TRUE
"WBGene00000088",501.830408106668,1.85684679798101,0.100317307412257,18.5097352179745,1.72345707848311e-76,9.32263848245108e-76,TRUE,FALSE
"WBGene00000089",95.6623390189354,0.917149567125533,0.208725801191952,4.39404022831892,1.11263212721467e-05,2.17506643287594e-05,TRUE,FALSE
"WBGene00000090",1064.68014770007,-1.58411677615372,0.0715234955320725,-22.1482012920268,1.08567715196762e-108,7.66907742810068e-108,TRUE,TRUE
"WBGene00000092",427.182074699933,0.231024642693652,0.0967181819218644,2.38863715283947,0.016910994925106,0.0261793413149984,TRUE,FALSE
"WBGene00000093",562.480990338389,-0.404754371427611,0.0860860616195356,-4.70174106949457,2.57952480761368e-06,5.21488348552202e-06,TRUE,TRUE
"WBGene00000094",668.915924368571,0.654852280908004,0.0801624495484774,8.16906524933458,3.10788044449137e-16,8.44371138215722e-16,TRUE,FALSE
"WBGene00000095",572.740354542539,1.78614160077323,0.0971811249949528,18.3795114623955,1.91687183859238e-75,1.02894155014096e-74,TRUE,FALSE
"WBGene00000096",14.437456000576,1.62611947576647,0.547670281949288,2.96915777496403,0.00298617229443517,0.00495690448400909,TRUE,FALSE
"WBGene00000097",1181.14816438771,0.257350019593978,0.0666356246254947,3.86204858197602,0.000112440199214308,0.000207730179031973,TRUE,FALSE
"WBGene00000098",8206.40243207701,0.94641293696565,0.0366344304830569,25.8339743374299,3.68370496789516e-147,3.38048296507933e-146,TRUE,FALSE
"WBGene00000099",3254.93593797003,0.705764025961097,0.0497132344555657,14.1967030246627,9.60249764199848e-46,4.044017794521e-45,TRUE,FALSE
"WBGene00000100",487.36411359065,-1.73941527707373,0.0981500999789514,-17.7219919026751,2.83686977044302e-70,1.45584415691966e-69,TRUE,TRUE
"WBGene00000101",8818.85868101586,1.24956608529801,0.0356019553467813,35.0982431477878,7.16986285301906e-270,1.2933447884652e-268,TRUE,FALSE
"WBGene00000102",6980.11208572487,1.57272680784152,0.0357457564245542,43.9975808362303,0,0,TRUE,FALSE
"WBGene00000103",151.984358228107,0.758579294074361,0.160707891136176,4.72023675198112,2.35570297732111e-06,4.77617926371473e-06,TRUE,FALSE
"WBGene00000105",263.506939577271,-2.76185759949726,0.146325465354995,-18.8747569863989,1.83968137236941e-79,1.01739221158798e-78,TRUE,TRUE
"WBGene00000106",708.493155814039,-2.43038378232053,0.0863238653387174,-28.1542511191337,2.12576303075328e-174,2.32671406725417e-173,TRUE,TRUE
"WBGene00000107",4234.30264739905,-0.438940763646889,0.0385957249611944,-11.3727819360361,5.7136982311233e-30,1.9830448939233e-29,TRUE,TRUE
"WBGene00000109",3028.54303398225,1.14146809918834,0.0447003551365737,25.5359962063119,7.85613016114013e-144,7.10092797145634e-143,TRUE,FALSE
"WBGene00000110",1243.57924702289,-1.82881196369861,0.0650664695820242,-28.1068263799555,8.084073742033e-174,8.75705204581564e-173,TRUE,TRUE
"WBGene00000112",1000.7762451021,-0.968813003479289,0.0689312672570519,-14.0547684966604,7.20170296200988e-45,3.0088228180246e-44,TRUE,TRUE
"WBGene00000114",4309.03482588478,-2.568211333371,0.0451051922707364,-56.9382637359296,0,0,TRUE,TRUE
"WBGene00000115",3260.81545680295,0.164599050260372,0.0471669975709918,3.48970803182101,0.000483548532339435,0.000851426259498385,TRUE,FALSE
"WBGene00000116",1220.98265315006,0.312472475657829,0.0631637858555262,4.94701942617157,7.53584584880709e-07,1.56797822289783e-06,TRUE,FALSE
"WBGene00000117",502.581178450667,-0.984565892786895,0.0905191563312458,-10.8768788032444,1.48563092592152e-27,4.99928485320107e-27,TRUE,TRUE
"WBGene00000118",1070.31224329075,0.793228120659827,0.0637846121771478,12.4360420732325,1.66554456911647e-35,6.23355638824266e-35,TRUE,FALSE
"WBGene00000120",445.699776372623,0.927084834272001,0.100076785373119,9.26373514912101,1.97403053684172e-20,5.89683748851865e-20,TRUE,FALSE
"WBGene00000121",6470.4172187189,0.892023911317066,0.0379002874521111,23.536072449165,1.74351890821133e-122,1.33722809693654e-121,TRUE,FALSE
"WBGene00000122",8287.5238878707,0.549355400671526,0.0338479386225997,16.230099173742,3.08959849178864e-59,1.45252600234761e-58,TRUE,FALSE
"WBGene00000123",2031.92767219943,-3.80734178728829,0.0691281205971842,-55.0765991379111,0,0,TRUE,TRUE
"WBGene00000133",13.7158126337464,2.34835688516941,0.63345934465551,3.70719432112332,0.000209568138049245,0.00037998916489257,TRUE,FALSE
"WBGene00000135",24.7125347409277,2.33135879477114,0.471452666107737,4.94505379303205,7.61228411259271e-07,1.58309896710674e-06,TRUE,FALSE
